Customer Complaint	Description
Internet Availability and Speed	We recently 'upgraded' our service and since then the Internet and television through XXXXX has gone down 4 days in two weeks. This is unacceptable. We pay around 200 a month for the service and if this continues for the rest of the month the math comes out to XXXXX stealing 56 dollars from us a month by not providing the services we have paid them for. 
Internet Availability and Speed	"Internet has been broken down for 3 weeks last month. I called them and informed them of this. I was told to call to them each time the service is down. I can’t call them every time. There service number that is on the bill doesn’t work within 5 minutes. I can’t wait 45 minutes for them to answer the phone. XXXXX is not to call me, they are to use US mail trail"
Internet Availability and Speed	Internet Outage lasting from Tuesday April 21st through Wednesday April 22nd for over 12hrs period. It was still out as of 1219am. 
Pricing and Billing	I keep getting extra charges on my bill each month with explanation of what it's for or why I'm being charged and charges for equipment that has not been sent to me.
Pricing and Billing	XXXXX is my internet service provider. Now they are adding an additional charge for using the internet at a rate of $10 for 50GB. I already pay $49.99 for internet access (not including taxes/fees) 
Internet Availability and Speed	never get full amount i am paying for and it and is not consistent
Pricing and Billing	"I called yesterday to cancel my service and XXXXX wanted to charged me about $170 for early termination. This amount to about 2 months service. If I wasn't in the military I would be faced with this charge. I am complaining because this fee has nothing to do with the service considering that it is just a ""flick of a button"" to turn off (or on) a service."
Pricing and Billing	"While I know it's common for the price to increase after the first year of service, I was given no warning before my bill suddenly increased by 50%. If I was notified beforehand, even just by email, that my service was about to become more expensive I would have had ample time to switch providers. Instead I'm stuck with a bill that's 50% higher than what I used to pay. A 50% increase is quite significant and I think it warrants a warning. I'm not sure if it's common practice to ignore your customers and let them be surprised by a large bill after the promotional period is over, but it shouldn't be. "
Pricing and Billing	"My name is. My husband and I recently had to check online for our XXXXX bill because we never received one in the mail, and when we got on the website, we had a $167.85 bill.. But when I click on bill description it only says $58 we were only two days late on the bill and no where on the bill did it say we had a late fee. No one has called or mailed us anything to let us know we were late. We always have our bill mailed except for this month."
Pricing and Billing	yes XXXXX says i owe 215 .00 on my last bill fro old apt.im going thru a hardship being on disability.and hoping i can just pay half the bill like 100.00 and XXXXX will contact the collection agency and tell them i paid 100.00 on old bill.hope can work something out dont want my credt ruined ?????
Internet Availability and Speed	"Hello, I experience daily reduce speed while using my XXXXX Infinity internet service. My area does not have enough competition while my building is tied solely to XXXXX. Billing does not match the service it provides. I miss Brighthouse, Time Warner, and Century Link at least those cable/DSL providers never slowed my internet speed. "
Pricing and Billing	"1. XXXXX changed my bill without making me aware. When I saw the changed, I called them and they said they would fix the problem. 2. I asked that (since my bill had increased), that they remove an extra that I had on my account. They said they did it. It was not done. 3. XXXXX said they would reimburse me for the bill problems, so I would see $40 off my bill this month. It has not been taken off as they promised."
Internet Availability and Speed	"I pay a ridiculous amount for XXXXX Internet and cable each month, and It doesn't work about 40% of the time. When I'm streaming Netflix it cuts out. Using wifi on my phone cuts out all the time. I then spend more time unplugging and trying to restart the router over and over, and half the time that doesn't even work. So I pay 115$ a month for it not to work more than 40% of the time."
Internet Availability and Speed	"I have XXXXX internet, and it appears as though they throttle or slow down our speeds at certain times. During these times, the members of our household cannot load internet pages in a timely fashion, and sometimes the pages do not load at all. We have high-quality, up-to-date computers, so the problem is not our hardware or software. We pay for 25 mbps download speed, and get nowhere close to that speed. In addition, our connection is unreliable. Thank you."
Internet Availability and Speed	"Prior to our move 3 years ago I called XXXXX (we were current customers) two times to confirm that I could get internet at our potential new home and they said I could. When we moved in July 2012 and attempted to get it they said that we were unable unless we paid $12000 to have them run and install. Now that I am wanting to start to work from home and the kids need internet for school, I am in the need of high speed internet. Our neighbor that is aprox 800 ft away does have XXXXX. XXXXX again today said that they can not provide to my home due to the distance. Is there any other action that I can take? I can not afford to pay $12000 especially when I know that my neighbor has it. Is there federal grants or actions that I can take?"
Internet Availability and Speed	"I am using XXXXX Internet service. Two problems: (1) XXXXX sales person told me that in my area (Cupertino, California, zip code 95014) there is NO service tier slower than 50Mbps, so I have to pay for that speed. But I rarely can get 50Mbps , if any. In best case, it can go about 20Mbps, and most times <10Mbps when testing with www.speedtest.net (2) The Internet service was down last week (5/30/2015), and it is down again (6/1/2015). Their service quality is really really BAD. "
Internet Availability and Speed	"For the last few months XXXXX has been having massive ping issues on an almost hourly basis at my house. In addition, recently there has up to 50% packet loss to my house at around the same time every day. Usually happens from around 4-7 PM."
